Timestamp,Plastic,Glass
1575718144,3,3
1575748860,1,1
1575779160,2,1
1575780720,4,1
1575781020,1,1
1575781320,4,1
1575781620,1,1
1575784320,1,4
1575784620,1,1
1575792420,3,3
1575835320,1,1
1575853920,2,1
1575855720,1,1
1575878820,3,3
1575921720,1,1
1575932760,1,4
1575933120,1,1
1575965220,3,3
1576007880,1,1
1576008540,1,4
1576008660,1,1
1576046760,2,1
1576047660,1,1
1576047780,2,1
1576049100,1,1
1576051320,3,3
1576094220,1,4
1576094310,1,1
1576101600,4,1
1576101660,1,1
1576137720,3,3
1576180620,1,1
1576200180,4,1
1576200300,1,1
1576224120,3,3
1576267020,1,1
1576268280,1,4
1576268310,1,1
1576310550,3,3
1576353390,1,1
1576361220,2,1
1576362510,1,1
1576362810,4,1
1576363140,1,1
1576364580,1,4
1576364610,1,1
1576366830,4,1
1576367070,1,1
1576367400,4,1
1576367550,1,1
1576389960,4,1
1576390080,1,1
1576396920,3,3
1576439820,1,1
1576452720,1,4
1576453050,1,1
1576472160,2,1
1576472460,1,1
1576472580,2,1
1576473330,1,1
1576474590,2,1
1576474650,4,1
1576476030,1,1
1576483320,3,3
1576526220,1,1
1576528140,4,1
1576528230,1,1
1576569720,3,3
1576612620,1,1
1576619760,1,4
1576620240,1,1
1576656120,3,3
1576699050,1,1
1576704990,2,1
1576705080,1,1
1576742520,3,3
1576785420,1,1
1576802760,4,1
1576802790,1,1
1576818360,2,1
1576819530,4,1
1576821300,1,1
1576828890,3,3
1576871820,1,1
1576875150,1,4
1576876020,1,1
1576888020,2,1
1576888590,4,1
1576893450,1,1
1576909860,4,1
1576909980,1,1
1576915320,3,3
1576958190,1,1
1576973400,1,4
1576974330,1,1
1576988850,2,1
1576990200,4,1
1576992090,4,4
1576992360,4,1
1576995840,1,1
1577001720,3,3
1577044620,1,1
1577079570,2,1
1577080740,4,1
1577082690,1,1
1577085540,1,4
1577085660,1,1
1577088120,3,3
1577131050,1,1
1577151150,4,1
1577151180,1,1
1577167020,2,1
1577168220,1,1
1577174370,3,3
1577304060,1,1
1577347320,3,3
1577390460,1,1
1577414880,4,1
1577415150,1,1
1577422470,1,4
1577422530,1,1
1577433690,3,3
1577476590,1,1
1577494830,4,1
1577495130,1,1
1577508300,1,4
1577508540,1,1
1577520120,3,3
1577563020,1,1
1577564790,2,1
1577566230,1,1
1577581260,2,1
1577581350,1,1
1577581650,4,1
1577581680,1,1
1577593710,1,2
1577593800,1,1
1577597850,2,1
1577598660,1,1
1577598780,2,1
1577599590,1,1
1577602590,1,4
1577604210,1,1
1577604720,1,4
1577605020,1,1
1577606520,3,3
1577649420,1,1
1577650110,1,4
1577650200,1,1
1577659140,1,4
1577659200,1,1
1577659680,4,1
1577659770,1,1
1577683530,1,4
1577686650,1,1
1577689680,1,4
1577692590,2,4
1577692950,3,3
1577735850,1,1
1577736330,2,1
1577736420,1,1
1577738340,1,4
1577738370,1,1
1577752470,2,1
1577754090,1,1
1577755950,2,1
1577756940,4,1
1577759520,1,1
1577779320,3,3
1577822220,1,1
1577846520,1,4
1577846670,1,1
1577865690,3,3
1577908620,1,1
1577910480,4,1
1577911530,1,1
1577912550,4,1
1577912700,1,1
1577931420,1,2
1577931540,1,1
1577931840,1,4
1577933310,1,1
1577933640,1,4
1577933700,4,4
1577933820,4,1
1577934180,1,1
1577937390,2,1
1577937510,4,1
1577941890,1,1
1577942190,4,1
1577942550,1,1
1577945220,1,4
1577945400,1,1
1577952120,3,3
1577995020,1,1
1577996280,2,1
1577996580,1,1
1578012720,4,1
1578012870,1,1
1578024630,2,1
1578025560,1,1
1578025590,2,1
1578025650,1,1
1578025710,2,1
1578025740,1,1
1578025770,2,1
1578025800,1,1
1578025950,2,1
1578026250,1,1
1578026640,2,1
1578027180,4,1
1578031560,1,1
1578033150,1,2
1578033270,1,1
1578033570,1,4
1578035640,1,1
1578038520,3,3
1578045510,4,4
1578045690,3,3
1578081450,4,1
1578081720,1,1
1578093390,2,1
1578094410,1,1
1578116790,2,1
1578119250,1,1
1578124680,1,4
1578124860,1,1
1578124890,3,3
1578167820,1,1
1578183750,2,1
1578183870,1,1
1578183990,2,1
1578185160,1,1
1578185280,2,1
1578185670,1,1
1578185970,4,1
1578186120,1,1
1578193230,1,2
1578193410,1,1
1578193980,1,4
1578194280,1,1
1578197730,2,1
1578197910,1,1
1578198210,4,1
1578203040,4,4
1578205050,4,1
1578205320,1,1
1578207030,1,4
1578207690,1,1
1578211320,3,3
1578254220,1,1
1578259770,4,1
1578260250,1,1
1578273180,3,3
1578273270,1,1
1578289170,2,1
1578289200,1,1
1578290070,2,1
1578290340,4,1
1578292200,1,1
1578297720,3,3
1578340620,1,1
1578355950,1,2
1578356940,1,1
1578357240,1,4
1578357660,1,1
1578360510,1,4
1578362190,1,1
1578369720,1,4
1578373290,1,1
1578374970,1,4
1578375090,1,1
1578384120,3,3
1578400620,0:undefined,0:undefined
1578400650,3,3
1578426990,1,1
1578443190,2,1
1578444180,4,1
1578444570,1,1
1578445380,4,1
1578445890,1,1
1578467640,2,1
1578469260,4,1
1578470520,3,3
1578513450,1,1
1578546420,4,1
1578546600,1,1
1578556890,3,3
1578599850,1,1
1578636480,4,1
1578637440,1,1
1578642780,3,3
1578642840,1,1
1578643320,3,3
1578686220,1,1
1578688740,1,4
1578688950,1,1
1578716490,4,1
1578716670,1,1
1578729690,3,3
1578772620,1,1
1578784350,2,1
1578784470,1,1
1578785610,2,1
1578786330,1,1
1578786390,2,1
1578787290,1,1
1578798000,2,1
1578799020,1,1
1578799350,4,1
1578799380,1,1
1578799710,4,1
1578800100,1,1
1578809970,1,2
1578811260,1,1
1578811560,1,4
1578813360,1,1
1578816090,3,3
1578859020,1,1
1578864180,4,1
1578864270,1,1
1578899130,2,1
1578899670,1,1
1578902190,1,2
1578902430,1,1
1578902490,3,3
1578945420,1,1
1578949770,1,4
1578950250,1,1
1578950760,4,1
1578951510,1,1
1578964920,3,3
1578964950,1,1
1578978780,2,1
1578979260,1,1
1578979380,2,1
1578980160,1,1
1578980310,2,1
1578980520,4,1
1578988950,3,3
1579031790,4,1
1579032120,1,1
1579037730,1,4
